front_sentence,front_word,front_quote,back_word,back_sentence
Cappuccino e Ciri: Una storia di due gatti birichini a Berlino,gatti birichini,"gatti birichini fa rima con freche Katzen, ricorda questa scena!",freche Katzen,Cappuccino und Ciri: Eine Geschichte zweier frecher Katzen.
Cappuccino e Ciri eran due gatti astuti,gatti astuti,"gatti astuti fa rima con listige Katzen, ricorda questa scena!",listige Katzen,Cappuccino und Ciri waren zwei listige Katzen.
Che a Wedding spuntavan tra luci e minuti.,tra luci e minuti,"tra luci e minuti fa rima con zwischen Lichtern und Minuten, ricorda questa scena!",zwischen Lichtern und Minuten,Die in Wedding zwischen Lichtern und Minuten auftauchten.
"Un quartiere di Berlino, vivace e disteso,",quartiere di Berlino,"quartiere di Berlino fa rima con Stadtteil von Berlin, ricorda questa scena!",Stadtteil von Berlin,"Ein Stadtteil von Berlin, lebendig und entspannt."
Testimone di scherzi in ogni suo paese.,Testimone di scherzi,"Testimone di scherzi fa rima con Zeuge von Streichen, ricorda questa scena!",Zeuge von Streichen,Zeuge von Streichen in jedem seiner Länder.
"All’alba salivano al suon dell’U-Bahn,",al suon dell’U-Bahn,"al suon dell’U-Bahn fa rima con zum Klang der U-Bahn, ricorda questa scena!",zum Klang der U-Bahn,Bei Sonnenaufgang stiegen sie zum Klang der U-Bahn ein.
E sparivano poi con il calar del gran.,calar del gran,"calar del gran fa rima con Sonnenuntergang, ricorda questa scena!",Sonnenuntergang,Und verschwanden dann bei Sonnenuntergang.
"Il fornaio, il sarto, il cuoco e il droghiere —",il droghiere,"il droghiere fa rima con der Drogist, ricorda questa scena!",der Drogist,"Der Bäcker, der Schneider, der Koch und der Drogist –"
Tutti han visto uno scherzo o un loro piacere.,piacere,"piacere fa rima con Vergnügen, ricorda questa scena!",Vergnügen,Alle haben einen Streich oder ein Vergnügen gesehen.
"Venti scherzetti — ve li mostriamo,",scherzetti,"scherzetti fa rima con Streiche, ricorda questa scena!",Streiche,Zwanzig Streiche – wir zeigen sie euch.
"Da tetti a fiumiciattoli, ve li raccontiamo.",tetti a fiumiciattoli,"tetti a fiumiciattoli fa rima con Dächern bis zu Bächlein, ricorda questa scena!",Dächern bis zu Bächlein,"Von Dächern bis zu Bächlein, wir erzählen sie euch."
Primo Scherzo – Il Furto in Cucina,Furto in Cucina,"Furto in Cucina fa rima con Diebstahl in der Küche, ricorda questa scena!",Diebstahl in der Küche,Erster Streich – Der Diebstahl in der Küche.
"In un attico presso Leopoldplatz,",attico presso Leopoldplatz,"attico presso Leopoldplatz fa rima con Dachgeschoss bei der Leopoldplatz, ricorda questa scena!",Dachgeschoss bei der Leopoldplatz,In einem Dachgeschoss bei der Leopoldplatz.
Due gatti han notato dei trote-smazz.,trote-smazz,"trote-smazz fa rima con Forellen-Schmaus, ricorda questa scena!",Forellen-Schmaus,Zwei Katzen bemerkten einen Forellen-Schmaus.
"Cappuccino annusò il buon pesce arrostito,",pesce arrostito,"pesce arrostito fa rima con gebratener Fisch, ricorda questa scena!",gebratener Fisch,Cappuccino roch den gebratenen Fisch.
"Mentre Ciri girava, lesto e spedito.","girava, lesto e spedito","girava, lesto e spedito fa rima con drehte sich flink und zügig, ricorda questa scena!",drehte sich flink und zügig,Während Ciri sich flink und zügig drehte.
"Son balzati sul tavolo con gran destrezza,",balzati sul tavolo,"balzati sul tavolo fa rima con auf den Tisch gesprungen, ricorda questa scena!",auf den Tisch gesprungen,Sie sind mit großer Geschicklichkeit auf den Tisch gesprungen.
Mandando posate giù con chiarezza.,Mandando posate giù,"Mandando posate giù fa rima con Besteck zu Boden geschickt, ricorda questa scena!",Besteck zu Boden geschickt,Sie ließen Besteck deutlich zu Boden fallen.
"Con un sol balzo, la trota sparì,",la trota sparì,"la trota sparì fa rima con die Forelle verschwand, ricorda questa scena!",die Forelle verschwand,Mit einem Sprung verschwand die Forelle.
"E via fino all’alba, così finì.",fino all’alba,"fino all’alba fa rima con bis zum Morgengrauen, ricorda questa scena!",bis zum Morgengrauen,"Und weiter bis zum Morgengrauen, so endete es."
"Il padrone trovò la cucina devastata,",cucina devastata,"cucina devastata fa rima con verwüstete Küche, ricorda questa scena!",verwüstete Küche,Der Hausherr fand die Küche verwüstet vor.
"""Il mio pranzo!"" gridò, voce disperata.",voce disperata,"voce disperata fa rima con verzweifelte Stimme, ricorda questa scena!",verzweifelte Stimme,"„Mein Mittagessen!“, rief er mit verzweifelter Stimme."
"Ma sul tappeto, con zampe di pesce,",zampe di pesce,"zampe di pesce fa rima con Pfoten voller Fisch, ricorda questa scena!",Pfoten voller Fisch,"Aber auf dem Teppich, mit Pfoten voller Fisch,"
Due gatti dormivano con pancia felice.,pancia felice,"pancia felice fa rima con glücklicher Bauch, ricorda questa scena!",glücklicher Bauch,Schliefen zwei Katzen mit glücklichem Bauch.
Secondo Scherzo – Trappola in Lavanderia,Trappola in Lavanderia,"Trappola in Lavanderia fa rima con Falle in der Waschküche, ricorda questa scena!",Falle in der Waschküche,Zweiter Streich – Falle in der Waschküche.
"Su Müllerstraße, tra vestiti e panni,",Müllerstraße,"Müllerstraße fa rima con Müllerstraße, ricorda questa scena!",Müllerstraße,"Auf der Müllerstraße, zwischen Kleidung und Wäsche."
Ciri guidò Cappuccino tra gli inganni.,guidò Cappuccino,"guidò Cappuccino fa rima con führte Cappuccino, ricorda questa scena!",führte Cappuccino,Ciri führte Cappuccino durch die Fallen.
"Le lavatrici giravano in fretta,",lavatrici giravano in fretta,"lavatrici giravano in fretta fa rima con Waschmaschinen drehten sich schnell, ricorda questa scena!",Waschmaschinen drehten sich schnell,Die Waschmaschinen drehten sich schnell.
Ma i gatti saltavano — una vera vendetta.,gatti saltavano,"gatti saltavano fa rima con Katzen sprangen, ricorda questa scena!",Katzen sprangen,Aber die Katzen sprangen – eine wahre Rache.
"Strappavano asciugamani, graffiavano jeans,",graffiavano jeans,"graffiavano jeans fa rima con kratzten Jeans, ricorda questa scena!",kratzten Jeans,"Sie rissen Handtücher, kratzten Jeans."
Si infilavano dietro tra mille stridii.,dietro tra mille stridii,"dietro tra mille stridii fa rima con hinter tausend Quietschen, ricorda questa scena!",hinter tausend Quietschen,Sie schlichen sich hinter tausend Quietschen.
"""Il mio vestito preferito!"" una donna urlò,",vestito preferito,"vestito preferito fa rima con Lieblingskleid, ricorda questa scena!",Lieblingskleid,"„Mein Lieblingskleid!“, rief eine Frau."
Ma la gonna a calzino si ridusse però.,gonna a calzino,"gonna a calzino fa rima con sockenartiger Rock, ricorda questa scena!",sockenartiger Rock,Aber der sockenartige Rock wurde zerrissen.
"Fuggiron via con fili intrecciati,",fili intrecciati,"fili intrecciati fa rima con verflochtene Fäden, ricorda questa scena!",verflochtene Fäden,Sie flohen mit verflochtenen Fäden.
"Due ladri pelosi, ben coordinati.",ladri pelosi,"ladri pelosi fa rima con pelzige Diebe, ricorda questa scena!",pelzige Diebe,"Zwei pelzige Diebe, gut koordiniert."
Terzo Scherzo – Dramma Döner,Dramma Döner,"Dramma Döner fa rima con Döner-Drama, ricorda questa scena!",Döner-Drama,Dritter Streich – Döner-Drama.
"Fuori un locale su Seestraße via,",locale su Seestraße,"locale su Seestraße fa rima con Lokal an der Seestraße, ricorda questa scena!",Lokal an der Seestraße,Vor einem Lokal an der Seestraße.
I gatti sentiron carne con allegria.,carne con allegria,"carne con allegria fa rima con Fleisch mit Freude, ricorda questa scena!",Fleisch mit Freude,Die Katzen rochen Fleisch mit Freude.
"Un uomo si sedette con panini in mano,",panini in mano,"panini in mano fa rima con Brötchen in der Hand, ricorda questa scena!",Brötchen in der Hand,Ein Mann setzte sich mit Brötchen in der Hand.
"Ed ecco il piano, tutto molto urbano.",piano urbano,"piano urbano fa rima con städtischer Plan, ricorda questa scena!",städtischer Plan,Und da war der Plan – ganz urban.
"Ciri distrasse con salto ben fatto,",salto ben fatto,"salto ben fatto fa rima con gut gemachter Sprung, ricorda questa scena!",gut gemachter Sprung,Ciri lenkte ab mit einem gut gemachten Sprung.
